Accession (Identificador),Begin (Inicio de la trasnscripción),End (final de la transcripción),Orientation,Name (Alias),Symbol,Gene Type,Protein accession (Posible identificador de la proteína),Protein name (Product),Protein length,Locus tag
NZ_CP009124.1,393,689,minus,hypothetical protein,,protein-coding,WP_038534176.1,hypothetical protein,98,SLIV_RS00005
NZ_CP009124.1,1002,1160,plus,hypothetical protein,,protein-coding,WP_159025389.1,hypothetical protein,52,SLIV_RS00010
NZ_CP009124.1,1150,1644,plus,hypothetical protein,,protein-coding,WP_011116838.1,hypothetical protein,164,SLIV_RS37595
NZ_CP009124.1,1641,4286,plus,DEAD/DEAH box helicase,,protein-coding,WP_011116837.1,DEAD/DEAH box helicase,881,SLIV_RS00020
NZ_CP009124.1,4390,5628,plus,ABC-three component system protein,,protein-coding,WP_231909054.1,ABC-three component system protein,412,SLIV_RS00025
NZ_CP009124.1,5631,5903,plus,three component ABC system middle component,,protein-coding,WP_003978819.1,three component ABC system middle component,90,SLIV_RS41090
NZ_CP009124.1,5939,6121,plus,uncharacterized gene,,pseudogene,,,,SLIV_RS41095
NZ_CP009124.1,6145,8094,plus,DUF3732 domain-containing protein,,protein-coding,WP_037667021.1,DUF3732 domain-containing protein,649,SLIV_RS00030
NZ_CP009124.1,8266,8820,plus,telomere-protecting terminal protein Tpg,tpg,protein-coding,WP_003978813.1,telomere-protecting terminal protein Tpg,184,SLIV_RS41100
NZ_CP009124.1,8853,9965,minus,hypothetical protein,,protein-coding,WP_003978811.1,hypothetical protein,370,SLIV_RS00040
NZ_CP009124.1,10258,11172,minus,AraC family transcriptional regulator,,protein-coding,WP_003978810.1,AraC family transcriptional regulator,304,SLIV_RS00045
NZ_CP009124.1,11259,12254,plus,SDR family NAD(P)-dependent oxidoreductase,,protein-coding,WP_046247901.1,SDR family NAD(P)-dependent oxidoreductase,331,SLIV_RS00050
NZ_CP009124.1,12547,13509,minus,IS5-like element IS4811 family transposase,,protein-coding,WP_003978807.1,IS5-like element IS4811 family transposase,320,SLIV_RS00055
NZ_CP009124.1,13578,13997,minus,hypothetical protein,,protein-coding,WP_003978804.1,hypothetical protein,139,SLIV_RS00060
NZ_CP009124.1,14000,15010,minus,DUF6192 family protein,,protein-coding,WP_003978802.1,DUF6192 family protein,336,SLIV_RS00065
