GENE NAME,Enzyme or Protein,GENE NAME/GENE/ENZYME PROTEIN,KO classification,Metabolism/other,Top Pathway
,,B  09101 Carbohydrate metabolism,,,
,,C    00010 Glycolysis / Gluconeogenesis [PATH:slv00010],,,
SLIV_06845,sugar kinase,D      SLIV_06845 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_07585,sugar kinase,D      SLIV_07585 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_16970,sugar kinase,D      SLIV_16970 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_27075,glkA; Glucokinase,D      SLIV_27075 glkA; Glucokinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_32410,sugar kinase,D      SLIV_32410 sugar kinase,K25026 glk; glucokinase [EC:2.7.1.2],Metabolism,B  09101 Carbohydrate metabolism
SLIV_05215,pgi1; Glucose-6-phosphate isomerase 1,D      SLIV_05215 pgi1; Glucose-6-phosphate isomerase 1,K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],Metabolism,B  09101 Carbohydrate metabolism
SLIV_28005,pgi2; Glucose-6-phosphate isomerase 2,D      SLIV_28005 pgi2; Glucose-6-phosphate isomerase 2,K01810 GPI; glucose-6-phosphate isomerase [EC:5.3.1.9],Metabolism,B  09101 Carbohydrate metabolism
SLIV_11375,pfkA2; 6-phosphofructokinase 2,D      SLIV_11375 pfkA2; 6-phosphofructokinase 2,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_27110,pfkA1; 6-phosphofructokinase 1,D      SLIV_27110 pfkA1; 6-phosphofructokinase 1,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_31725,pfkA3; 6-phosphofructokinase 3,D      SLIV_31725 pfkA3; 6-phosphofructokinase 3,K21071 pfk; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11 2.7.1.90],Metabolism,B  09101 Carbohydrate metabolism
SLIV_13150,"glpX; Fructose-1,6-bisphosphatase class 2","D      SLIV_13150 glpX; Fructose-1,6-bisphosphatase class 2","K02446 glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_09345,tagatose-bisphosphate aldolase,D      SLIV_09345 tagatose-bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_20045,fba; Fructose-bisphosphate aldolase,D      SLIV_20045 fba; Fructose-bisphosphate aldolase,"K01624 FBA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_27990,tpiA; Triosephosphate isomerase,D      SLIV_27990 tpiA; Triosephosphate isomerase,K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_35055,triosephosphate isomerase,D      SLIV_35055 triosephosphate isomerase,K01803 TPI; triosephosphate isomerase (TIM) [EC:5.3.1.1],Metabolism,B  09101 Carbohydrate metabolism
SLIV_01755,gap1; Glyceraldehyde-3-phosphate dehydrogena,D      SLIV_01755 gap1; Glyceraldehyde-3-phosphate dehydrogenase,K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],Metabolism,B  09101 Carbohydrate metabolism
SLIV_04050,glyceraldehyde-3-phosphate dehydrogenase,D      SLIV_04050 glyceraldehyde-3-phosphate dehydrogenase,K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],Metabolism,B  09101 Carbohydrate metabolism
SLIV_27980,gap2; Glyceraldehyde-3-phosphate dehydrogena,D      SLIV_27980 gap2; Glyceraldehyde-3-phosphate dehydrogenase,K00134 GAPDH; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12],Metabolism,B  09101 Carbohydrate metabolism
SLIV_27985,pgk; Phosphoglycerate kinase,D      SLIV_27985 pgk; Phosphoglycerate kinase,K00927 PGK; phosphoglycerate kinase [EC:2.7.2.3],Metabolism,B  09101 Carbohydrate metabolism
SLIV_17330,"gpmA; 2,3-bisphosphoglycerate-dependent phos","D      SLIV_17330 gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase","K01834 PGAM; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_08510,phosphoglycerate mutase,D      SLIV_08510 phosphoglycerate mutase,"K15634 gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]",Metabolism,B  09101 Carbohydrate metabolism
SLIV_01125,eno2; Enolase 2,D      SLIV_01125 eno2; Enolase 2,K01689 ENO1_2_3; enolase 1/2/3 [EC:4.2.1.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_22205,eno1; Enolase 1,D      SLIV_22205 eno1; Enolase 1,K01689 ENO1_2_3; enolase 1/2/3 [EC:4.2.1.11],Metabolism,B  09101 Carbohydrate metabolism
SLIV_11390,pyk1; Pyruvate kinase,D      SLIV_11390 pyk1; Pyruvate kinase,K00873 PK; pyruvate kinase [EC:2.7.1.40],Metabolism,B  09101 Carbohydrate metabolism
SLIV_27640,pyk2; Pyruvate kinase,D      SLIV_27640 pyk2; Pyruvate kinase,K00873 PK; pyruvate kinase [EC:2.7.1.40],Metabolism,B  09101 Carbohydrate metabolism
